Date,Open,High,Low,Close,Adj Close,Volume
8/9/06,143.626999,153.496002,142.190002,152.029999,86.058144,11189053
8/10/06,151.770996,152.729996,149.490997,151.283005,85.635307,6416794
8/11/06,151.770996,155.451004,151.014008,151.369003,85.684006,9728859
8/14/06,152.537994,154.070999,151.684998,153.429001,86.850075,4837954
8/16/06,155.162994,158.095001,154.654999,156.667999,88.68354,6465267
8/17/06,157.520004,161.352997,156.964996,160.490997,90.847603,12739317
8/18/06,160.970001,164.207993,160.011993,162.876007,92.197662,15356587
8/21/06,162.886002,165.386993,160.912003,164.524002,93.130531,9427581
8/22/06,163.854004,165.759995,160.988998,161.994995,91.698944,6734405
8/23/06,161.735992,164.016998,161.007996,162.369003,91.910667,11536874
8/24/06,162.694,165.569,160.654007,164.820999,93.298637,12357374
8/25/06,164.802002,166.335007,162.253998,163.287994,92.430855,6324757
8/28/06,161.352997,164.802002,161.352997,163.287994,92.430855,2958593
8/29/06,166.910004,166.910004,161.496994,162.005005,91.70462,4219571
8/30/06,162.005005,164.802002,162.005005,163.699997,92.664085,4366855
8/31/06,163.470001,165.376999,160.5,162.091003,91.753296,9743992
9/1/06,161.735992,166.498001,161.572998,165.348007,93.596962,6378637
9/4/06,166.718994,172.276001,166.718994,171.931,97.323326,7433072
9/5/06,172.276001,172.468002,168.826996,169.899994,96.173645,5287934
9/6/06,170.550995,171.863998,169.210007,169.755997,96.09214,4665320
9/7/06,169.210007,172.429001,168.615997,172.016998,97.372017,7294018
9/8/06,172.294998,173.578995,171.222,172.371994,97.572968,8234536
9/11/06,172.658997,172.832001,160.078995,162.406998,91.932167,9586058
9/12/06,155.460007,164.572006,155.460007,163.623993,92.621063,8239660
9/13/06,164.227005,168.520004,164.227005,166.757004,94.394547,7293412
9/14/06,166.718994,168.634995,165.042007,165.798996,93.852249,5065558
9/15/06,166.143997,167.677002,164.266006,166.651993,94.335091,4948776
9/18/06,166.699005,167.485001,164.274994,164.841003,93.309967,3995218
9/19/06,164.802002,165.645004,157.912994,159.322006,90.185875,6791614
9/20/06,158.996002,161.927994,157.520004,161.401001,91.362701,10539434
9/21/06,166.679993,166.679993,160.625,162.397003,91.926521,6184352
9/22/06,162.292007,162.292007,159.675995,160.164993,90.663055,8256098
9/25/06,160.585999,164.304001,160.585999,162.436005,91.948593,9852748
9/26/06,162.886002,164.725998,162.186996,164.408997,93.065414,7337617
9/27/06,164.820999,166.048004,162.886002,163.326996,92.452942,4494705
9/28/06,164.725998,164.725998,160.567001,161.276001,91.291962,7909697
9/29/06,161.487,166.009995,161.487,165.128006,93.472427,6049973
10/3/06,165.128006,168.022003,163.910995,166.690002,94.356606,7603760
10/4/06,167.082993,169.727005,166.766998,168.664001,95.474007,14836759
10/5/06,169.210007,172.850998,169.210007,171.259995,96.943497,11080892
10/6/06,171.509003,172.276001,169.630997,171.164001,96.88916,3451443
10/9/06,170.934006,173.406998,162.886002,172.591995,97.697502,4938282
10/10/06,173.809006,175.341995,173.809006,174.412994,98.728294,4367956
10/11/06,174.087006,175.649002,167.455994,168.759003,95.527786,4602287
10/12/06,169.785004,173.694,168.807007,172.880005,97.860527,3812053
10/13/06,173.617004,175.820999,171.988007,174.804993,98.950172,5214345
10/16/06,175.341995,176.414993,172.658997,173.445007,98.180344,4343440
10/17/06,169.085007,174.766998,169.085007,172.343002,97.556541,3296415
10/18/06,172.468002,174.373993,169.507004,170.052994,96.260254,5972011
10/19/06,171.893005,171.893005,168.884003,170.427002,96.47197,3071634
10/20/06,171.317993,172.841003,169.028,170.272995,96.384811,1899138
10/23/06,169.593002,171.317993,168.098007,168.462006,95.359673,2169867
10/26/06,169.966995,170.119995,165.951996,167.016006,94.541153,4098944
10/27/06,168.223007,170.723999,168.145996,169.908997,96.178749,4599109
10/30/06,171.126007,172.371994,161.018005,162.742004,92.121796,13694008
10/31/06,162.694,162.886002,157.904007,158.621994,89.789635,15471313
11/1/06,159.082001,161.113007,158.057007,158.891006,89.94191,8052628
11/2/06,159.436996,161.832001,158.669998,158.985992,89.995674,10948565
11/3/06,159.436996,160.395004,154.684006,156.255997,88.450333,13345577
11/6/06,156.561996,157.481995,155.039001,156.371002,88.515427,12595008
11/7/06,157.136993,159.225998,156.466003,156.888,88.808075,7416644
11/8/06,158.076004,158.076004,151.867004,153.735992,87.023857,9838888
11/9/06,155.220993,155.766998,151.962997,153.936996,87.137634,11336665
11/10/06,154.263,157.425003,152.729996,156.792007,88.753738,12015800
11/13/06,157.904007,159.992004,157.356995,159.761993,90.434937,7055376
11/14/06,160.940994,160.940994,156.878006,158.947998,89.974182,5664873
11/15/06,159.052994,159.992004,157.175003,157.865005,89.36113,4562920
11/16/06,158.479004,159.436996,155.220993,156.026001,88.320137,6100873
